image_link,group_id,entity_name,entity_value,image_name,extracted_info
https://m.media-amazon.com/images/I/61Am7goxaFL.jpg,178778,depth,3.9 centimetre,607ba212-cce4-40b9-9f5e-c554e62ce964.jpg,"['3.9cm/1.53in', '1']"
https://m.media-amazon.com/images/I/51R8AlSuVKL.jpg,347320,depth,100.0 inch,cea75d65-b014-4063-8266-92d02333aecf.jpg,"['7', '100 inch', '17.7 inch']"
https://m.media-amazon.com/images/I/51KghPIV6JL.jpg,826444,depth,90.0 millimetre,18dcc8fb-3d55-4210-b0bc-5cdb125e23e0.jpg,"['90 MM', '110 MM', '60 MM']"
https://m.media-amazon.com/images/I/51gqMA7+K0L.jpg,494658,depth,53.0 centimetre,720519e2-2a97-441d-8aba-1269b767d168.jpg,"['3', '3', '8', '3', '167cm/65.74in', 'Thick: 1Ocm/3.94in']"
https://m.media-amazon.com/images/I/51YDWb+0+mL.jpg,861555,depth,217.0 millimetre,ad84886e-4f36-4fd5-aac2-0b8a1fb18fef.jpg,"['1', '217mm', '173mm', '30mm']"
https://m.media-amazon.com/images/I/51544S1oCiL.jpg,667819,depth,16.0 inch,902d97d8-8729-4845-b654-99483a9b2bb4.jpg,[]
https://m.media-amazon.com/images/I/51brSZcFF7L.jpg,675317,depth,1.18 inch,8ebade76-e016-4a3b-89cf-040ea91bed23.jpg,"['1', '1.18in']"
https://m.media-amazon.com/images/I/513bbFLNI+L.jpg,943839,depth,65.0 millimetre,abbd2916-c26d-4b17-868f-a65fabc71841.jpg,"['0', '0', '0']"
https://m.media-amazon.com/images/I/51p84vAQK8L.jpg,108478,depth,25.0 centimetre,cb8ec7fb-29bc-4042-ac10-3cb5e75a468e.jpg,"['{25cm', '1', '1']"
https://m.media-amazon.com/images/I/51bpjtgntZL.jpg,881883,depth,200.0 centimetre,848447ef-e84b-4f91-9c37-56997ae4fe60.jpg,"['200 cm', '180 cm']"
https://m.media-amazon.com/images/I/610FJ8HRCnL.jpg,549052,depth,25.5 centimetre,e134d95e-b842-4285-b0b8-f6be15fab18f.jpg,"['30cm', '25.Scm']"
https://m.media-amazon.com/images/I/41KfWMKeN-L.jpg,281210,depth,26.5 centimetre,8991343c-235e-48a4-a8fa-f6e22939b522.jpg,"['Thickness 2CM', '26.5cm', '25cm', 'Thickness 2.SCM', '11cm', '43cm']"
https://m.media-amazon.com/images/I/615oTjEYB0L.jpg,755711,depth,30.0 millimetre,1fae0d1d-c3f5-400f-b8d1-9241493c039b.jpg,"['1', '3', '1', '8']"
https://m.media-amazon.com/images/I/61F6wD4fPFL.jpg,630869,depth,21.0 centimetre,9a2d3887-ab2b-42a6-ac4c-dad752eebd24.jpg,"['Base Material: 316L Stainless Steel', 'Width: 11mm (0.43 inch)', '12mm (0.47 inch)', '2Omm (0.78 inch)', '19cm(7.4 inches) Net wieght:44.8g', '21cm(8.3 inches) Net wieght48.8g', '23cm(9.0 inches) Net wieght:52.8g']"
https://m.media-amazon.com/images/I/513RMllK3sS.jpg,675317,depth,1.4 inch,864398cd-5ed1-4424-8b33-f2ec18e689d6.jpg,"['7.2in', '18. 5', '58', '4.9in 2.7in]', '2.2in', '88', '2', '7.3in', '4Iin', '213in', '38', '1.4in']"
https://m.media-amazon.com/images/I/51mDgaBW3AL.jpg,630869,depth,26.0 centimetre,49b57007-e14d-4def-98e5-6d95ee479242.jpg,"['3t Y)X<-925', '#/X 26cm', 'FI_YIk #J2.5mm', ""@#ota +2cm 0#7**t+671'g+_""]"
https://m.media-amazon.com/images/I/51SL+qaaFoL.jpg,784538,depth,19.0 inch,7fff63df-9f1d-49e7-9ecf-fbd2b18bf6ba.jpg,"['19 inch', '1', '2', '1', '0', '9 inch']"
https://m.media-amazon.com/images/I/51-FPHxRNVL.jpg,932012,depth,165.0 centimetre,6b356e19-c19a-4cbc-9d93-c846ed37dfbd.jpg,"['Width 6Ocm x Length', '165cm']"
https://m.media-amazon.com/images/I/61ARfalan2L.jpg,507619,depth,44.0 centimetre,f98d3b8f-e422-44a8-98ed-85a1464a6ba5.jpg,"['180 cm', '56 cm', '21 cm', '56 cm', '44 cm', '15.5cm', '21 cm', '32 cm']"
https://m.media-amazon.com/images/I/51mxkZNEE1L.jpg,752266,depth,40.5 centimetre,c68c1594-de4b-471b-9e2c-d3bdc32b8230.jpg,"['8W', '17CM', '6 Zin', '5CM', '40.5CM/15.9in', '16CM/6.3in']"
https://m.media-amazon.com/images/I/51rLfBrj41L.jpg,462731,depth,15.3 centimetre,7b3ba2b5-b6bd-448c-8241-775b91df90e3.jpg,"['5.3cm/2.08in', '1', '1']"
https://m.media-amazon.com/images/I/51K1dg-p1JL.jpg,681045,depth,10.0 inch,6b7bb244-1c45-4943-816b-1b48975b50c8.jpg,"['Weight: 1.340z', '2 inch', '1', '1', '0.79 inch']"
https://m.media-amazon.com/images/I/614qKNpJERL.jpg,764618,depth,16.0 centimetre,290c1d74-4109-4b38-b22b-2b76bf593d6e.jpg,"['12.3in/31.3cm', 'fo.6in/1.6cm', '4.6in/11.7cm', '4.2in/10.8cm', '1.lin/2.8cm']"
